韩,28.7056229116088,neg,1,j
真是太,27.467877614471035,neg,3,nr
恶心,26.594255473330126,neg,2,n
没人接,25.526038613141097,neg,3,v
总之,24.839582795298426,neg,2,c
再也,23.91025497491065,neg,2,d
谎称,23.226851450606652,neg,2,n
再也不会,22.948939768907096,neg,4,l
不行,22.410109495109666,neg,2,v
食欲,21.745180570582804,neg,2,n
不定,21.587417055828386,neg,2,d
怪味,21.570562502740046,neg,2,n
战斗机,21.46182053823861,neg,3,n
职业道德,21.216256162163504,neg,4,n
没,21.13944606111705,neg,1,v
要死,21.094377823901944,neg,2,v
无话可说,20.851322945410317,neg,4,l
绝不,20.73996183646261,neg,2,d
简直,20.247547882080845,neg,2,d
另,20.204305074241006,neg,1,r
以前,20.038758611015364,neg,2,f
难吃,19.889819513701827,neg,2,a
知道,19.79677428285146,neg,2,v
饿死,19.767276781574754,neg,2,v
糟糕,18.922237941021464,neg,2,a
忽悠,18.92178606278289,neg,2,z
炒饼,18.891964929907658,neg,2,n
面汤,18.767419831969356,neg,2,n
形容,18.72203992846535,neg,2,n
保安,18.674310427577876,neg,2,nz
有没有,18.368259255608557,neg,3,v
泡饼,18.35238233269051,neg,2,n
没放,18.089347926856718,neg,2,v
超慢,17.99760910784589,neg,2,v
芹菜,17.970446122374156,neg,2,n
到极点,17.749497923972093,neg,3,l
鱼头,17.699319851965264,neg,2,n
之内,17.640426162911695,neg,2,f
进门,17.597494830527047,neg,2,v
不会,17.589663060311278,neg,2,v
去年,17.570036835020296,neg,2,t
体验,17.52362066607686,neg,2,n
瘤子,17.038865418644637,neg,2,n
金手,16.929079973679308,neg,2,n
刷新,16.89196492990766,neg,2,v
德福,16.623827919365795,neg,2,ns
人员素质,16.570036835020296,neg,4,n
相差,16.570036835020296,neg,2,v
放,16.34285388397282,neg,1,v
再点,16.324028264399395,neg,2,d
藕片,16.307002429186504,neg,2,n
差劲,16.26473838569403,neg,2,n
不再,16.245972995788943,neg,2,d
梅菜,16.23866068634766,neg,2,n
路,16.1728478269506,neg,1,n
照片,16.141815346750853,neg,2,n
主动,15.876406159278883,neg,2,b
旺,15.84622034070224,neg,1,a
差远了,15.803329847963278,neg,3,l
外包装,15.699319851965265,neg,3,n
上当,15.592404648048754,neg,2,v
死,15.541075444034085,neg,1,v
店,15.47472283801378,neg,1,n
彻底,15.21711306048288,neg,2,ad
请问,15.105795337740682,neg,2,v
欺骗,15.084610007850056,neg,2,v
叫,14.771123081047833,neg,1,v
不吃,14.698348247811046,neg,2,v
什么,14.574238550642587,neg,2,r
问,14.446748088971585,neg,1,n
吵吵,14.430056175969113,neg,2,v
更是,14.392118476201201,neg,2,d
扣肉,14.288615793824782,neg,2,n
冷冰冰,14.278053082524062,neg,3,nr
谁,14.242122484870272,neg,1,r
说不出来,14.231510496587035,neg,4,l
蟑螂,14.170484689582125,neg,2,n
底儿,14.10812808108175,neg,2,n
同一个,14.10812808108175,neg,3,b
无,14.076047994346633,neg,1,v
摊鸡蛋,14.038865418644638,neg,3,n
小葱,14.038865418644638,neg,2,b
餐筷,14.038865418644638,neg,2,n
宽,14.015018676690271,neg,1,a
这餐,14.01501867669027,neg,2,r
别,13.776444446130721,neg,1,r
这家,13.747757076123586,neg,2,r
受不了,13.673541410774158,neg,3,l
岂止,13.567559699719048,neg,2,v
气,13.558064193354221,neg,1,n
餐具,13.471581550652616,neg,2,n
制作人员,13.443014601780744,neg,4,n
从始至终,13.443014601780744,neg,4,l
黑白,13.430056175969115,neg,2,z
烤熟,13.430056175969113,neg,2,n
脏话,13.430056175969113,neg,2,n
方盒,13.430056175969113,neg,2,n
米饭,13.349309342750608,neg,2,n
闻,13.32826795003713,neg,1,v
总订,13.30551107803081,neg,2,v
没见,13.170484689582123,neg,2,v
包都,13.153507984585758,neg,2,v
鸭黄,13.153507984585758,neg,2,n
没法,13.116613586528931,neg,2,v
现买,13.10812808108175,neg,2,v
将近,13.03387109233179,neg,2,t
期间,12.992811714496035,neg,2,f
老人家,12.983582983143446,neg,3,n
嫌饭,12.983582983143446,neg,2,n
那位,12.915483003139354,neg,2,r
负数,12.915483003139354,neg,2,n
人生观,12.915483003139354,neg,3,n
汁,12.854542981098174,neg,1,ng
豆泡,12.79093790520105,neg,2,n
了选,12.79093790520105,neg,2,v
前下,12.79093790520105,neg,2,f
的狠,12.79093790520105,neg,2,d
完款,12.693090581802908,neg,2,v
强制,12.693090581802906,neg,2,v
中毒,12.693090581802906,neg,2,nz
胃口,12.59249414946868,neg,2,n
遇到,12.570036835020298,neg,2,v
各,12.56755969971905,neg,1,r
尼玛,12.552114927023037,neg,2,nrt
透,12.49793103453988,neg,1,v
费,12.491085493625478,neg,1,v
面筋,12.453902917923484,neg,2,n
图片,12.431492714535345,neg,2,n
踏进,12.430056175969113,neg,2,v
成都,12.430056175969113,neg,2,ns
勾结,12.430056175969113,neg,2,v
拴,12.430056175969113,neg,1,v
小时,12.370338622557206,neg,2,n
改变,12.3305205024182,neg,2,v
上图,12.30551107803081,neg,2,f
找不着,12.278053082524064,neg,3,v
失败,12.245786829080625,neg,2,v
拖,12.108128081081752,neg,1,v
死扣,12.10812808108175,neg,2,n
字差,12.10812808108175,neg,2,n
洗,12.10812808108175,neg,1,v
居然,12.057086906525154,neg,2,d
消费者,11.98507433429914,neg,3,n
真想,11.983582983143446,neg,2,d
实实在在,11.983582983143446,neg,4,z
女店员,11.982597198997894,neg,3,n
祝福,11.915483003139354,neg,2,nr
花都,11.85805210105959,neg,2,ns
这时候,11.84509367524796,neg,3,r
